episode,timestep,reward
1,450,-2.4417
3,900,-2.2728
6,1800,-2.6893
8,2250,-2.9454
9,2700,-2.9561
11,3150,-2.7467
13,3600,-2.9098
14,4050,-2.8331
16,4500,-2.7891
19,5400,-2.6102
21,5850,-2.7678
24,6750,-2.8859
26,7200,-2.4548
27,7650,-2.919
29,8100,-2.9415
31,8550,-2.5891
32,9000,-3.2069
34,9450,-2.6517
37,10350,-2.7443
39,10800,-2.8689
42,11700,-2.7885
44,12150,-2.7043
45,12600,-2.8186
47,13050,-2.9264
49,13500,-2.6071
50,13950,-2.9616
52,14400,-2.6663
55,15300,-2.7385
57,15750,-2.6653
60,16650,-2.6367
62,17100,-2.7077
63,17550,-2.5614
65,18000,-2.6022
67,18450,-2.8301
68,18900,-2.7546
70,19350,-2.5869
73,20250,-2.2168
75,20700,-2.1766
78,21600,-2.3457
80,22050,-2.2542
81,22500,-2.3163
83,22950,-2.329
85,23400,-2.1017
86,23850,-1.964
88,24300,-1.9683
91,25200,-2.2563
93,25650,-1.9593
96,26550,-2.0055
98,27000,-2.1257
99,27450,-2.2277
101,27900,-2.1229
103,28350,-2.1482
104,28800,-2.0689
106,29250,-2.108
109,30150,-2.0507
111,30600,-2.2864
114,31500,-2.1917
116,31950,-2.1916
117,32400,-1.9575
119,32850,-1.9796
121,33300,-2.077
122,33750,-2.2565
124,34200,-1.9988
127,35100,-2.036
129,35550,-2.0921
132,36450,-2.0539
134,36900,-2.0155
135,37350,-1.9866
137,37800,-1.9669
139,38250,-1.9633
140,38700,-1.9691
142,39150,-2.0271
145,40050,-2.1364
147,40500,-1.9798
150,41400,-2.0345
152,41850,-1.9894
153,42300,-1.9575
155,42750,-1.9575
157,43200,-2.2336
158,43650,-2.1412
160,44100,-2.144
163,45000,-2.1169
165,45450,-2.0546
168,46350,-2.1457
170,46800,-2.0385
171,47250,-1.9605
173,47700,-1.9611
175,48150,-1.9575
176,48600,-1.9575
178,49050,-2.0002
181,49950,-1.9614
183,50400,-1.9791
186,51300,-1.9736
188,51750,-2.1574
189,52200,-1.9575
191,52650,-1.9611
193,53100,-1.9611
194,53550,-1.9575
196,54000,-1.9575
199,54900,-1.9767
201,55350,-2.1121
204,56250,-1.9575
206,56700,-1.9575
207,57150,-1.9647
209,57600,-2.457
211,58050,-1.9575
212,58500,-1.9575
214,58950,-1.9575
217,59850,-1.9875
219,60300,-2.0789
222,61200,-1.9815
224,61650,-2.3188
225,62100,-1.9575
227,62550,-1.9593
229,63000,-1.9575
230,63450,-1.9633
232,63900,-1.9604
235,64800,-2.0175
237,65250,-1.9647
240,66150,-1.9585
242,66600,-2.0408
243,67050,-1.9575
245,67500,-2.029
247,67950,-1.9575
248,68400,-1.9674
250,68850,-2.1587
253,69750,-1.9896
255,70200,-1.9575
258,71100,-1.977
260,71550,-1.9575
261,72000,-2.1257
263,72450,-1.9575
265,72900,-2.0416
266,73350,-1.9575
268,73800,-2.3732
271,74700,-2.116
273,75150,-1.9575
276,76050,-1.9746
278,76500,-1.9575
279,76950,-1.9575
281,77400,-2.0241
283,77850,-2.0248
284,78300,-1.9575
286,78750,-1.9575
289,79650,-1.9707
291,80100,-1.9647
294,81000,-1.9983
296,81450,-1.9881
297,81900,-1.9575
299,82350,-1.9593
301,82800,-1.9582
302,83250,-1.9575
304,83700,-1.9575
307,84600,-2.1062
309,85050,-1.9575
312,85950,-1.9575
314,86400,-1.9611
315,86850,-1.9575
317,87300,-2.1953
319,87750,-1.9575
320,88200,-2.1412
322,88650,-1.9743
325,89550,-1.9575
327,90000,-1.9935
330,90900,-2.1135
332,91350,-1.9575
333,91800,-1.9575
335,92250,-1.9641
337,92700,-1.9575
338,93150,-1.9935
340,93600,-2.0115
343,94500,-2.0007
345,94950,-2.2221
348,95850,-1.9593
350,96300,-1.9575
351,96750,-2.5818
353,97200,-1.9971
355,97650,-1.9773
356,98100,-1.9971
358,98550,-1.9575
361,99450,-2.044
363,99900,-1.9773
