episode,timestep,reward
1,400,-2.6866
3,800,-2.4788
5,1200,-2.7167
7,1600,-2.6737
9,2000,-2.3903
11,2400,-2.5558
13,2800,-2.3866
15,3200,-2.5419
17,3600,-2.4265
19,4000,-2.5424
21,4400,-2.4508
23,4800,-2.334
25,5200,-2.3976
27,5600,-2.4578
29,6000,-2.5919
31,6400,-2.4235
33,6800,-2.6685
35,7200,-2.5798
37,7600,-2.4079
39,8000,-2.4466
41,8400,-2.7702
43,8800,-2.4073
45,9200,-2.5313
47,9600,-2.3882
49,10000,-2.6042
51,10400,-2.6429
53,10800,-2.6163
55,11200,-2.4558
57,11600,-2.6806
59,12000,-2.5882
61,12400,-2.4567
63,12800,-2.5625
65,13200,-2.6449
67,13600,-2.6466
69,14000,-2.3762
71,14400,-2.6586
73,14800,-2.4455
75,15200,-2.607
77,15600,-2.5587
79,16000,-2.6322
81,16400,-2.5722
83,16800,-2.5802
85,17200,-2.3337
87,17600,-2.4215
89,18000,-2.5697
91,18400,-2.6327
93,18800,-2.5104
95,19200,-2.3937
97,19600,-2.4593
99,20000,-2.2123
101,20400,-2.584
103,20800,-2.5154
105,21200,-2.5176
107,21600,-2.4036
109,22000,-2.4529
111,22400,-2.4548
113,22800,-2.5201
115,23200,-2.1923
117,23600,-2.3896
119,24000,-2.4068
121,24400,-2.2215
123,24800,-2.2377
125,25200,-2.3371
127,25600,-2.443
129,26000,-2.4735
131,26400,-2.2363
133,26800,-2.2045
135,27200,-2.025
137,27600,-2.4492
139,28000,-2.172
141,28400,-2.3399
143,28800,-2.0713
145,29200,-2.6127
147,29600,-2.3805
149,30000,-2.1695
151,30400,-2.1437
153,30800,-2.5161
155,31200,-2.4633
157,31600,-2.1434
159,32000,-2.4451
161,32400,-1.8316
163,32800,-2.159
165,33200,-2.158
167,33600,-2.1515
169,34000,-2.1092
171,34400,-2.5744
173,34800,-2.1461
175,35200,-1.9824
177,35600,-2.2324
179,36000,-1.9557
181,36400,-1.8047
183,36800,-1.7963
185,37200,-1.7778
187,37600,-1.9421
189,38000,-1.8782
191,38400,-1.9923
193,38800,-1.9355
195,39200,-1.9929
197,39600,-1.8074
199,40000,-1.9124
201,40400,-1.8207
203,40800,-1.8536
205,41200,-1.8023
207,41600,-1.8808
209,42000,-1.74
211,42400,-1.8427
213,42800,-1.8711
215,43200,-1.8373
217,43600,-1.7668
219,44000,-1.8374
221,44400,-1.7472
223,44800,-1.749
225,45200,-1.7634
227,45600,-1.74
229,46000,-1.8962
231,46400,-1.798
233,46800,-1.7805
235,47200,-1.9519
237,47600,-1.8512
239,48000,-2.0008
241,48400,-1.8226
243,48800,-1.8571
245,49200,-1.8219
247,49600,-1.9459
249,50000,-1.8409
251,50400,-1.7733
253,50800,-1.8402
255,51200,-1.7429
257,51600,-1.9254
259,52000,-1.8211
261,52400,-1.898
263,52800,-1.7436
265,53200,-2.03
267,53600,-1.8287
269,54000,-1.8356
271,54400,-1.7778
273,54800,-1.7436
275,55200,-1.8022
277,55600,-1.8348
279,56000,-1.74
281,56400,-1.7881
283,56800,-1.8179
285,57200,-2.0197
287,57600,-1.7634
289,58000,-1.7436
291,58400,-2.0288
293,58800,-1.8499
295,59200,-1.74
297,59600,-2.0122
299,60000,-1.74
301,60400,-1.7508
303,60800,-1.8357
305,61200,-1.74
307,61600,-1.74
309,62000,-1.8136
311,62400,-1.8437
313,62800,-1.74
315,63200,-1.8499
317,63600,-1.74
319,64000,-1.8697
321,64400,-1.7418
323,64800,-1.74
325,65200,-1.7598
327,65600,-1.74
329,66000,-1.74
331,66400,-1.74
333,66800,-2.1602
335,67200,-1.8386
337,67600,-1.8719
339,68000,-1.8067
341,68400,-1.7405
343,68800,-1.7889
345,69200,-1.74
347,69600,-1.74
349,70000,-1.7429
351,70400,-1.7472
353,70800,-1.74
355,71200,-1.942
357,71600,-1.74
359,72000,-1.74
361,72400,-1.8241
363,72800,-1.74
365,73200,-1.74
367,73600,-1.972
369,74000,-1.74
371,74400,-1.7472
373,74800,-1.74
375,75200,-1.74
377,75600,-1.74
379,76000,-1.749
381,76400,-1.74
383,76800,-1.74
385,77200,-1.834
387,77600,-1.7472
389,78000,-1.8993
391,78400,-1.8386
393,78800,-1.8967
395,79200,-1.9362
397,79600,-1.758
399,80000,-1.8008
401,80400,-1.7418
403,80800,-1.8964
405,81200,-1.8743
407,81600,-1.909
409,82000,-1.7778
411,82400,-1.8154
413,82800,-1.7724
415,83200,-1.7458
417,83600,-1.7508
419,84000,-1.74
421,84400,-1.7418
423,84800,-1.8301
425,85200,-1.74
427,85600,-1.7405
429,86000,-1.7922
431,86400,-1.74
433,86800,-1.74
435,87200,-1.7886
437,87600,-1.74
439,88000,-1.8453
441,88400,-1.8841
443,88800,-1.74
445,89200,-1.8183
447,89600,-1.924
449,90000,-1.74
451,90400,-1.8319
453,90800,-1.7904
455,91200,-2.0608
457,91600,-1.74
459,92000,-1.74
461,92400,-1.7429
463,92800,-1.74
465,93200,-1.7904
467,93600,-1.74
469,94000,-1.74
471,94400,-1.74
473,94800,-1.74
475,95200,-1.758
477,95600,-1.74
479,96000,-1.74
481,96400,-1.74
483,96800,-1.74
485,97200,-1.7562
487,97600,-1.776
489,98000,-1.74
491,98400,-1.8841
493,98800,-1.7409
495,99200,-1.74
497,99600,-1.8895
499,100000,-1.74
