episode,timestep,reward
1,400,-2.5474
3,800,-2.6363
5,1200,-2.4165
7,1600,-2.6319
9,2000,-2.636
11,2400,-2.4733
13,2800,-2.5395
15,3200,-2.3374
17,3600,-2.4364
19,4000,-2.5136
21,4400,-2.4199
23,4800,-2.3311
25,5200,-2.5277
27,5600,-2.4972
29,6000,-2.2021
31,6400,-2.4441
33,6800,-2.3903
35,7200,-2.5416
37,7600,-2.1191
39,8000,-2.509
41,8400,-2.3513
43,8800,-2.2688
45,9200,-2.2625
47,9600,-2.4701
49,10000,-2.2998
51,10400,-2.5584
53,10800,-2.1484
55,11200,-2.1699
57,11600,-2.194
59,12000,-2.4926
61,12400,-2.027
63,12800,-2.101
65,13200,-2.0483
67,13600,-2.1179
69,14000,-2.2937
71,14400,-2.2774
73,14800,-2.311
75,15200,-2.0708
77,15600,-2.2134
79,16000,-2.12
81,16400,-2.1608
83,16800,-2.2006
85,17200,-2.0298
87,17600,-1.7909
89,18000,-1.9425
91,18400,-2.1698
93,18800,-2.1841
95,19200,-2.0638
97,19600,-1.9627
99,20000,-1.804
101,20400,-2.3104
103,20800,-1.8346
105,21200,-1.874
107,21600,-2.0863
109,22000,-2.0038
111,22400,-1.7661
113,22800,-1.9912
115,23200,-1.8754
117,23600,-2.0189
119,24000,-2.0778
121,24400,-2.0084
123,24800,-2.0427
125,25200,-2.3226
127,25600,-1.7772
129,26000,-2.0367
131,26400,-1.9005
133,26800,-1.9485
135,27200,-1.8388
137,27600,-1.9179
139,28000,-2.1792
141,28400,-1.8638
143,28800,-1.8026
145,29200,-1.7826
147,29600,-1.9945
149,30000,-1.758
151,30400,-1.7906
153,30800,-1.7706
155,31200,-1.749
157,31600,-2.1217
159,32000,-2.3436
161,32400,-2.1247
163,32800,-1.9738
165,33200,-2.0311
167,33600,-2.3587
169,34000,-1.9635
171,34400,-1.9103
173,34800,-2.0642
175,35200,-1.857
177,35600,-2.0339
179,36000,-2.3055
181,36400,-2.3938
183,36800,-2.0279
185,37200,-2.0828
187,37600,-1.9463
189,38000,-2.0386
191,38400,-1.9949
193,38800,-2.3555
195,39200,-1.9448
197,39600,-1.9076
199,40000,-2.0252
201,40400,-1.9896
203,40800,-1.9201
205,41200,-1.8386
207,41600,-1.7983
209,42000,-1.9375
211,42400,-1.82
213,42800,-2.0987
215,43200,-2.1804
217,43600,-1.8015
219,44000,-2.2831
221,44400,-2.0275
223,44800,-2.0402
225,45200,-2.0818
227,45600,-2.0074
229,46000,-2.0873
231,46400,-2.3096
233,46800,-1.7998
235,47200,-1.9736
237,47600,-2.0651
239,48000,-1.8535
241,48400,-2.0796
243,48800,-1.9845
245,49200,-2.311
247,49600,-1.8928
249,50000,-1.9657
251,50400,-2.0825
253,50800,-1.952
255,51200,-1.9819
257,51600,-1.8841
259,52000,-2.0827
261,52400,-2.3179
263,52800,-2.0878
265,53200,-2.2267
267,53600,-1.8821
269,54000,-2.0438
271,54400,-1.8726
273,54800,-1.9528
275,55200,-2.0433
277,55600,-1.9723
279,56000,-2.0425
281,56400,-2.0667
283,56800,-1.8513
285,57200,-1.9831
287,57600,-1.8298
289,58000,-1.9988
291,58400,-1.8025
293,58800,-1.9399
295,59200,-2.0234
297,59600,-1.8991
299,60000,-1.8393
301,60400,-1.7545
303,60800,-1.8393
305,61200,-1.7598
307,61600,-1.7885
309,62000,-1.814
311,62400,-1.9366
313,62800,-2.0
315,63200,-1.8526
317,63600,-1.9494
319,64000,-1.8766
321,64400,-2.0825
323,64800,-1.749
325,65200,-1.9132
327,65600,-1.8472
329,66000,-1.9589
331,66400,-1.7855
333,66800,-1.7515
335,67200,-1.8896
337,67600,-1.9385
339,68000,-1.9027
341,68400,-2.0225
343,68800,-2.0175
345,69200,-1.7628
347,69600,-1.8602
349,70000,-1.8431
351,70400,-1.8278
353,70800,-1.816
355,71200,-1.7798
357,71600,-1.7688
359,72000,-1.749
361,72400,-1.7436
363,72800,-1.74
365,73200,-1.7871
367,73600,-1.7577
369,74000,-1.74
371,74400,-1.7544
373,74800,-1.8484
375,75200,-1.8229
377,75600,-1.7458
379,76000,-1.8219
381,76400,-1.7548
383,76800,-2.0031
385,77200,-1.8514
387,77600,-1.7448
389,78000,-1.749
391,78400,-1.7936
393,78800,-1.8048
395,79200,-1.7405
397,79600,-1.896
399,80000,-2.0717
401,80400,-1.9625
403,80800,-2.0299
405,81200,-1.8442
407,81600,-1.8012
409,82000,-1.7526
411,82400,-1.947
413,82800,-2.0804
415,83200,-2.0171
417,83600,-2.0922
419,84000,-2.1017
421,84400,-2.0266
423,84800,-1.8676
425,85200,-1.8975
427,85600,-1.8323
429,86000,-1.7867
431,86400,-1.8069
433,86800,-1.758
435,87200,-1.765
437,87600,-1.8819
439,88000,-1.8312
441,88400,-1.8092
443,88800,-1.9216
445,89200,-1.9418
447,89600,-1.8337
449,90000,-2.0186
451,90400,-1.7526
453,90800,-1.7907
455,91200,-1.749
457,91600,-1.74
459,92000,-1.7418
461,92400,-1.7591
463,92800,-1.79
465,93200,-1.7501
467,93600,-1.8601
469,94000,-1.9229
471,94400,-1.9053
473,94800,-1.8364
475,95200,-1.7699
477,95600,-1.7806
479,96000,-1.8744
481,96400,-1.8347
483,96800,-1.74
485,97200,-1.7588
487,97600,-1.7773
489,98000,-1.8135
491,98400,-1.7544
493,98800,-1.74
495,99200,-1.8294
497,99600,-1.74
499,100000,-1.74
