episode,timestep,reward
1,400,-2.2977
3,800,-2.3922
5,1200,-2.3313
7,1600,-2.6275
9,2000,-2.3787
11,2400,-2.5737
13,2800,-2.4677
15,3200,-2.4482
17,3600,-2.6251
19,4000,-2.4009
21,4400,-2.5532
23,4800,-2.3569
25,5200,-2.6184
27,5600,-2.4827
29,6000,-2.3865
31,6400,-2.324
33,6800,-2.406
35,7200,-2.4248
37,7600,-2.5931
39,8000,-2.3723
41,8400,-2.3263
43,8800,-2.5881
45,9200,-2.3287
47,9600,-2.6595
49,10000,-2.6705
51,10400,-2.6054
53,10800,-2.4206
55,11200,-2.384
57,11600,-2.2517
59,12000,-2.6066
61,12400,-2.4009
63,12800,-2.4769
65,13200,-2.345
67,13600,-2.5577
69,14000,-2.4721
71,14400,-2.391
73,14800,-2.3579
75,15200,-2.5343
77,15600,-2.5406
79,16000,-2.3018
81,16400,-2.4436
83,16800,-2.6573
85,17200,-2.4276
87,17600,-2.5327
89,18000,-2.658
91,18400,-2.3674
93,18800,-2.4221
95,19200,-2.444
97,19600,-2.5059
99,20000,-2.4372
101,20400,-2.3348
103,20800,-2.305
105,21200,-2.6499
107,21600,-2.3616
109,22000,-2.4291
111,22400,-2.2569
113,22800,-2.5159
115,23200,-2.4279
117,23600,-2.5722
119,24000,-2.3433
121,24400,-2.2878
123,24800,-2.493
125,25200,-2.4746
127,25600,-2.4794
129,26000,-2.5495
131,26400,-2.536
133,26800,-2.4331
135,27200,-2.4637
137,27600,-2.6428
139,28000,-2.4829
141,28400,-2.4816
143,28800,-2.4627
145,29200,-2.4112
147,29600,-2.2862
149,30000,-2.3481
151,30400,-2.4431
153,30800,-2.4694
155,31200,-2.3109
157,31600,-2.6217
159,32000,-2.6549
161,32400,-2.5113
163,32800,-2.3721
165,33200,-2.3759
167,33600,-2.5836
169,34000,-2.4879
171,34400,-2.6414
173,34800,-2.4816
175,35200,-2.4922
177,35600,-2.5185
179,36000,-2.3502
181,36400,-2.4834
183,36800,-2.4262
185,37200,-2.5799
187,37600,-2.3639
189,38000,-2.4696
191,38400,-2.4593
193,38800,-2.4329
195,39200,-2.5118
197,39600,-2.5152
199,40000,-2.5075
201,40400,-2.3921
203,40800,-2.6895
205,41200,-2.2596
207,41600,-2.4822
209,42000,-2.5647
211,42400,-2.364
213,42800,-2.5568
215,43200,-2.24
217,43600,-2.4063
219,44000,-2.6808
221,44400,-2.604
223,44800,-2.3876
225,45200,-2.3825
227,45600,-2.6624
229,46000,-2.6201
231,46400,-2.4272
233,46800,-2.6061
235,47200,-2.4059
237,47600,-2.7569
239,48000,-2.621
241,48400,-2.5293
243,48800,-2.5384
245,49200,-2.2694
247,49600,-2.6266
249,50000,-2.2412
251,50400,-2.3533
253,50800,-2.3471
255,51200,-2.6118
257,51600,-2.4215
259,52000,-2.5386
261,52400,-2.4932
263,52800,-2.346
265,53200,-2.2992
267,53600,-2.5699
269,54000,-2.646
271,54400,-2.4234
273,54800,-2.4165
275,55200,-2.4473
277,55600,-2.4908
279,56000,-2.5282
281,56400,-2.4184
283,56800,-2.3731
285,57200,-2.4836
287,57600,-2.4227
289,58000,-2.7618
291,58400,-2.5868
293,58800,-2.4634
295,59200,-2.7437
297,59600,-2.4649
299,60000,-2.6507
301,60400,-2.3733
303,60800,-2.5951
305,61200,-2.4677
307,61600,-2.6072
309,62000,-2.5696
311,62400,-2.4665
313,62800,-2.5161
315,63200,-2.4157
317,63600,-2.5022
319,64000,-2.4243
321,64400,-2.6661
323,64800,-2.6165
325,65200,-2.6085
327,65600,-2.6443
329,66000,-2.347
331,66400,-2.5243
333,66800,-2.5927
335,67200,-2.4137
337,67600,-2.4978
339,68000,-2.4137
341,68400,-2.6079
343,68800,-2.483
345,69200,-2.5264
347,69600,-2.478
349,70000,-2.3421
351,70400,-2.6363
353,70800,-2.36
355,71200,-2.3864
357,71600,-2.5494
359,72000,-2.5136
361,72400,-2.5341
363,72800,-2.3647
365,73200,-2.5141
367,73600,-2.443
369,74000,-2.6547
371,74400,-2.4323
373,74800,-2.6007
375,75200,-2.2961
377,75600,-2.4202
379,76000,-2.4787
381,76400,-2.5406
383,76800,-2.3355
385,77200,-2.4546
387,77600,-2.4332
389,78000,-2.6035
391,78400,-2.3385
393,78800,-2.3534
395,79200,-2.4573
397,79600,-2.4675
399,80000,-2.4585
401,80400,-2.571
403,80800,-2.4785
405,81200,-2.3873
407,81600,-2.6118
409,82000,-2.5389
411,82400,-2.2553
413,82800,-2.4818
415,83200,-2.5682
417,83600,-2.5562
419,84000,-2.3662
421,84400,-2.5751
423,84800,-2.4624
425,85200,-2.6586
427,85600,-2.5091
429,86000,-2.5245
431,86400,-2.1605
433,86800,-2.4889
435,87200,-2.5716
437,87600,-2.3726
439,88000,-2.5617
441,88400,-2.7011
443,88800,-2.5001
445,89200,-2.4243
447,89600,-2.4292
449,90000,-2.4874
451,90400,-2.7158
453,90800,-2.3022
455,91200,-2.4339
457,91600,-2.557
459,92000,-2.415
461,92400,-2.6319
463,92800,-2.489
465,93200,-2.4875
467,93600,-2.5696
469,94000,-2.3701
471,94400,-2.4764
473,94800,-2.481
475,95200,-2.6408
477,95600,-2.539
479,96000,-2.5926
481,96400,-2.5982
483,96800,-2.4209
485,97200,-2.4888
487,97600,-2.566
489,98000,-2.6745
491,98400,-2.4296
493,98800,-2.3755
495,99200,-2.6279
497,99600,-2.441
499,100000,-2.2535
