episode,timestep,reward
1,400,-2.4927
3,800,-2.615
5,1200,-2.3673
7,1600,-2.5692
9,2000,-2.2684
11,2400,-2.4175
13,2800,-2.4301
15,3200,-2.557
17,3600,-2.4236
19,4000,-2.4518
21,4400,-2.4741
23,4800,-2.4701
25,5200,-2.4627
27,5600,-2.3992
29,6000,-2.5005
31,6400,-2.415
33,6800,-2.1966
35,7200,-2.2636
37,7600,-2.7212
39,8000,-2.3929
41,8400,-2.3269
43,8800,-2.5221
45,9200,-2.4046
47,9600,-2.2744
49,10000,-2.7026
51,10400,-2.4514
53,10800,-2.7284
55,11200,-2.6637
57,11600,-2.435
59,12000,-2.2607
61,12400,-2.4035
63,12800,-2.5255
65,13200,-2.4362
67,13600,-2.3908
69,14000,-2.5603
71,14400,-2.5985
73,14800,-2.5367
75,15200,-2.5048
77,15600,-2.5658
79,16000,-2.3041
81,16400,-2.5697
83,16800,-2.4104
85,17200,-2.4433
87,17600,-2.4231
89,18000,-2.4114
91,18400,-2.5097
93,18800,-2.64
95,19200,-2.4747
97,19600,-2.2257
99,20000,-2.3553
101,20400,-2.4368
103,20800,-2.4147
105,21200,-2.5365
107,21600,-2.2811
109,22000,-2.4422
111,22400,-2.5704
113,22800,-2.4204
115,23200,-2.7097
117,23600,-2.5639
119,24000,-2.4349
121,24400,-2.4709
123,24800,-2.4964
125,25200,-2.5306
127,25600,-2.6187
129,26000,-2.4441
131,26400,-2.6385
133,26800,-2.1976
135,27200,-2.4683
137,27600,-2.6373
139,28000,-2.4408
141,28400,-2.4491
143,28800,-2.5142
145,29200,-2.7142
147,29600,-2.3959
149,30000,-2.6944
151,30400,-2.4076
153,30800,-2.4352
155,31200,-2.5775
157,31600,-2.175
159,32000,-2.6316
161,32400,-2.1792
163,32800,-2.5667
165,33200,-2.4102
167,33600,-2.42
169,34000,-2.5651
171,34400,-2.5923
173,34800,-2.4183
175,35200,-2.3701
177,35600,-2.3214
179,36000,-2.2501
181,36400,-2.3761
183,36800,-2.3816
185,37200,-2.3576
187,37600,-2.5304
189,38000,-2.5164
191,38400,-2.3791
193,38800,-2.5195
195,39200,-2.5407
197,39600,-2.2252
199,40000,-2.5944
201,40400,-2.509
203,40800,-2.4893
205,41200,-2.5013
207,41600,-2.5049
209,42000,-2.3061
211,42400,-2.3892
213,42800,-2.461
215,43200,-2.5332
217,43600,-2.6015
219,44000,-2.3687
221,44400,-2.4633
223,44800,-2.5327
225,45200,-2.4262
227,45600,-2.5613
229,46000,-2.5308
231,46400,-2.3123
233,46800,-2.4407
235,47200,-2.5484
237,47600,-2.5871
239,48000,-2.1923
241,48400,-2.6481
243,48800,-2.5652
245,49200,-2.3827
247,49600,-2.4647
249,50000,-2.2639
251,50400,-2.5119
253,50800,-2.5626
255,51200,-2.3653
257,51600,-2.5218
259,52000,-2.5756
261,52400,-2.5671
263,52800,-2.7244
265,53200,-2.4907
267,53600,-2.4905
269,54000,-2.3386
271,54400,-2.4499
273,54800,-2.4516
275,55200,-2.4538
277,55600,-2.5178
279,56000,-2.5931
281,56400,-2.2716
283,56800,-2.3537
285,57200,-2.6602
287,57600,-2.4409
289,58000,-2.5293
291,58400,-2.5647
293,58800,-2.6521
295,59200,-2.3863
297,59600,-2.5468
299,60000,-2.2918
301,60400,-2.5603
303,60800,-2.4136
305,61200,-2.4487
307,61600,-2.1757
309,62000,-2.4001
311,62400,-2.6225
313,62800,-2.548
315,63200,-2.4694
317,63600,-2.5539
319,64000,-2.3586
321,64400,-2.58
323,64800,-2.5662
325,65200,-2.403
327,65600,-2.3799
329,66000,-2.2279
331,66400,-2.5739
333,66800,-2.5357
335,67200,-2.6699
337,67600,-2.4383
339,68000,-2.3927
341,68400,-2.4201
343,68800,-2.4203
345,69200,-2.3082
347,69600,-2.4185
349,70000,-2.3758
351,70400,-2.3811
353,70800,-2.4025
355,71200,-2.5434
357,71600,-2.5844
359,72000,-2.5202
361,72400,-2.482
363,72800,-2.5653
365,73200,-2.5344
367,73600,-2.4416
369,74000,-2.5274
371,74400,-2.4416
373,74800,-2.2403
375,75200,-2.3255
377,75600,-2.2538
379,76000,-2.71
381,76400,-2.6036
383,76800,-2.5097
385,77200,-2.5905
387,77600,-2.549
389,78000,-2.5363
391,78400,-2.5309
393,78800,-2.4643
395,79200,-2.5417
397,79600,-2.4772
399,80000,-2.4847
401,80400,-2.4274
403,80800,-2.4603
405,81200,-2.5306
407,81600,-2.6493
409,82000,-2.6262
411,82400,-2.452
413,82800,-2.3661
415,83200,-2.5316
417,83600,-2.5474
419,84000,-2.4448
421,84400,-2.4568
423,84800,-2.3992
425,85200,-2.3226
427,85600,-2.3769
429,86000,-2.3808
431,86400,-2.2974
433,86800,-2.6466
435,87200,-2.5829
437,87600,-2.6194
439,88000,-2.4354
441,88400,-2.5102
443,88800,-2.4015
445,89200,-2.4493
447,89600,-2.5333
449,90000,-2.3122
451,90400,-2.5416
453,90800,-2.5275
455,91200,-2.3743
457,91600,-2.4374
459,92000,-2.588
461,92400,-2.4956
463,92800,-2.5017
465,93200,-2.3104
467,93600,-2.4553
469,94000,-2.4604
471,94400,-2.7472
473,94800,-2.4464
475,95200,-2.4441
477,95600,-2.3323
479,96000,-2.4122
481,96400,-2.5292
483,96800,-2.5419
485,97200,-2.4691
487,97600,-2.4133
489,98000,-2.5229
491,98400,-2.3115
493,98800,-2.3958
495,99200,-2.4885
497,99600,-2.4302
499,100000,-2.588
