episode,timestep,reward
1,450,-2.5473
3,900,-2.7397
6,1800,-2.8081
8,2250,-2.7762
9,2700,-2.6852
11,3150,-2.8531
13,3600,-2.7716
14,4050,-3.14
16,4500,-3.1419
19,5400,-2.9775
21,5850,-2.6776
24,6750,-2.6728
26,7200,-2.8192
27,7650,-2.7835
29,8100,-3.0482
31,8550,-2.8706
32,9000,-3.0343
34,9450,-2.6735
37,10350,-2.7191
39,10800,-2.8416
42,11700,-2.9225
44,12150,-2.8907
45,12600,-2.474
47,13050,-3.0432
49,13500,-2.9557
50,13950,-2.887
52,14400,-2.8036
55,15300,-2.8778
57,15750,-2.9138
60,16650,-2.7842
62,17100,-2.9592
63,17550,-2.8224
65,18000,-2.841
67,18450,-2.8019
68,18900,-3.1328
70,19350,-2.9976
73,20250,-2.7899
75,20700,-3.0839
78,21600,-2.923
80,22050,-2.9478
81,22500,-2.8125
83,22950,-2.8786
85,23400,-2.6232
86,23850,-3.0015
88,24300,-2.8567
91,25200,-2.9547
93,25650,-2.9198
96,26550,-2.7428
98,27000,-2.7955
99,27450,-2.7695
101,27900,-2.9766
103,28350,-2.7623
104,28800,-2.8696
106,29250,-2.7876
109,30150,-2.6735
111,30600,-2.9027
114,31500,-2.8393
116,31950,-3.0056
117,32400,-2.9315
119,32850,-3.0042
121,33300,-2.9171
122,33750,-2.8317
124,34200,-2.8001
127,35100,-2.9531
129,35550,-2.6599
132,36450,-2.7283
134,36900,-2.7973
135,37350,-2.9333
137,37800,-2.9206
139,38250,-2.8479
140,38700,-2.8583
142,39150,-2.944
145,40050,-2.7969
147,40500,-2.8362
150,41400,-2.7366
152,41850,-2.8348
153,42300,-2.9834
155,42750,-2.8894
157,43200,-2.6737
158,43650,-2.7807
160,44100,-2.8005
163,45000,-2.7593
165,45450,-3.0056
168,46350,-2.7695
170,46800,-2.7716
171,47250,-2.7865
173,47700,-2.7715
175,48150,-2.6012
176,48600,-2.8137
178,49050,-2.6878
181,49950,-2.7544
183,50400,-2.7165
186,51300,-2.748
188,51750,-2.8385
189,52200,-2.8154
191,52650,-2.866
193,53100,-2.8572
194,53550,-2.8087
196,54000,-2.9241
199,54900,-2.798
201,55350,-2.5719
204,56250,-2.7051
206,56700,-2.5639
207,57150,-2.8474
209,57600,-2.8801
211,58050,-2.8135
212,58500,-2.3843
214,58950,-2.9257
217,59850,-2.7546
219,60300,-2.9282
222,61200,-2.6054
224,61650,-2.8672
225,62100,-2.3507
227,62550,-2.7208
229,63000,-2.5869
230,63450,-2.8567
232,63900,-2.5306
235,64800,-2.9196
237,65250,-2.5987
240,66150,-2.6213
242,66600,-2.6392
243,67050,-2.4738
245,67500,-2.6447
247,67950,-2.9457
248,68400,-2.6489
250,68850,-2.7877
253,69750,-2.6563
255,70200,-2.5758
258,71100,-2.7201
260,71550,-2.8663
261,72000,-2.9644
263,72450,-3.0852
265,72900,-2.5818
266,73350,-2.7701
268,73800,-2.7768
271,74700,-2.7192
273,75150,-2.6345
276,76050,-2.7457
278,76500,-2.7986
279,76950,-2.8648
281,77400,-2.8655
283,77850,-2.7945
284,78300,-2.7171
286,78750,-2.6467
289,79650,-2.9703
291,80100,-2.8174
294,81000,-2.8242
296,81450,-2.6166
297,81900,-2.8931
299,82350,-2.6263
301,82800,-2.6599
302,83250,-2.8602
304,83700,-2.5739
307,84600,-2.8541
309,85050,-2.7391
312,85950,-2.6748
314,86400,-2.9837
315,86850,-3.0615
317,87300,-2.8015
319,87750,-2.709
320,88200,-2.4856
322,88650,-2.4401
325,89550,-2.9446
327,90000,-2.5995
330,90900,-2.7308
332,91350,-2.7288
333,91800,-2.4608
335,92250,-2.8708
337,92700,-2.6903
338,93150,-2.5594
340,93600,-2.7269
343,94500,-2.5252
345,94950,-2.829
348,95850,-2.5109
350,96300,-2.6898
351,96750,-2.5004
353,97200,-2.6031
355,97650,-2.8289
356,98100,-2.4062
358,98550,-2.5641
361,99450,-2.5634
363,99900,-2.7529
